trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
PUN_1030O,10:30:00,10:30:00,SAN,1,,0,1,1
PUN_1030O,10:40:00,10:40:00,PUN,2,,1,0,1
PUN_1100O,11:00:00,11:00:00,SAN,1,,0,1,1
PUN_1100O,11:10:00,11:10:00,PUN,2,,1,0,1
PUN_1130O,11:30:00,11:30:00,SAN,1,,0,1,1
PUN_1130O,11:40:00,11:40:00,PUN,2,,1,0,1
PUN_1200O,12:00:00,12:00:00,SAN,1,,0,1,1
PUN_1200O,12:10:00,12:10:00,PUN,2,,1,0,1
PUN_1230O,12:30:00,12:30:00,SAN,1,,0,1,1
PUN_1230O,12:40:00,12:40:00,PUN,2,,1,0,1
PUN_1300O,13:00:00,13:00:00,SAN,1,,0,1,1
PUN_1300O,13:10:00,13:10:00,PUN,2,,1,0,1
PUN_1330O,13:30:00,13:30:00,SAN,1,,0,1,1
PUN_1330O,13:40:00,13:40:00,PUN,2,,1,0,1
PUN_1400O,14:00:00,14:00:00,SAN,1,,0,1,1
PUN_1400O,14:10:00,14:10:00,PUN,2,,1,0,1
PUN_1430O,14:30:00,14:30:00,SAN,1,,0,1,1
PUN_1430O,14:40:00,14:40:00,PUN,2,,1,0,1
PUN_1500O,15:00:00,15:00:00,SAN,1,,0,1,1
PUN_1500O,15:10:00,15:10:00,PUN,2,,1,0,1
PUN_1530O,15:30:00,15:30:00,SAN,1,,0,1,1
PUN_1530O,15:40:00,15:40:00,PUN,2,,1,0,1
PUN_1600O,16:00:00,16:00:00,SAN,1,,0,1,1
PUN_1600O,16:10:00,16:10:00,PUN,2,,1,0,1
PUN_1630O,16:30:00,16:30:00,SAN,1,,0,1,1
PUN_1630O,16:40:00,16:40:00,PUN,2,,1,0,1
PUN_1700O,17:00:00,17:00:00,SAN,1,,0,1,1
PUN_1700O,17:10:00,17:10:00,PUN,2,,1,0,1
PUN_1730O,17:30:00,17:30:00,SAN,1,,0,1,1
PUN_1730O,17:40:00,17:40:00,PUN,2,,1,0,1
PUN_1800O,18:00:00,18:00:00,SAN,1,,0,1,1
PUN_1800O,18:10:00,18:10:00,PUN,2,,1,0,1
PUN_1830O,18:30:00,18:30:00,SAN,1,,0,1,1
PUN_1830O,18:40:00,18:40:00,PUN,2,,1,0,1
PUN_1900O,19:00:00,19:00:00,SAN,1,,0,1,1
PUN_1900O,19:10:00,19:10:00,PUN,2,,1,0,1
PUN_1045R,10:45:00,10:45:00,PUN,1,,0,1,1
PUN_1045R,10:55:00,10:55:00,SAN,2,,1,0,1
PUN_1115R,11:15:00,11:15:00,PUN,1,,0,1,1
PUN_1115R,11:25:00,11:25:00,SAN,2,,1,0,1
PUN_1145R,11:45:00,11:45:00,PUN,1,,0,1,1
PUN_1145R,11:55:00,11:55:00,SAN,2,,1,0,1
PUN_1215R,12:15:00,12:15:00,PUN,1,,0,1,1
PUN_1215R,12:25:00,12:25:00,SAN,2,,1,0,1
PUN_1245R,12:45:00,12:45:00,PUN,1,,0,1,1
PUN_1245R,12:55:00,12:55:00,SAN,2,,1,0,1
PUN_1315R,13:15:00,13:15:00,PUN,1,,0,1,1
PUN_1315R,13:25:00,13:25:00,SAN,2,,1,0,1
PUN_1345R,13:45:00,13:45:00,PUN,1,,0,1,1
PUN_1345R,13:55:00,13:55:00,SAN,2,,1,0,1
PUN_1415R,14:15:00,14:15:00,PUN,1,,0,1,1
PUN_1415R,14:25:00,14:25:00,SAN,2,,1,0,1
PUN_1445R,14:45:00,14:45:00,PUN,1,,0,1,1
PUN_1445R,14:55:00,14:55:00,SAN,2,,1,0,1
PUN_1515R,15:15:00,15:15:00,PUN,1,,0,1,1
PUN_1515R,15:25:00,15:25:00,SAN,2,,1,0,1
PUN_1545R,15:45:00,15:45:00,PUN,1,,0,1,1
PUN_1545R,15:55:00,15:55:00,SAN,2,,1,0,1
PUN_1615R,16:15:00,16:15:00,PUN,1,,0,1,1
PUN_1615R,16:25:00,16:25:00,SAN,2,,1,0,1
PUN_1645R,16:45:00,16:45:00,PUN,1,,0,1,1
PUN_1645R,16:55:00,16:55:00,SAN,2,,1,0,1
PUN_1715R,17:15:00,17:15:00,PUN,1,,0,1,1
PUN_1715R,17:25:00,17:25:00,SAN,2,,1,0,1
PUN_1745R,17:45:00,17:45:00,PUN,1,,0,1,1
PUN_1745R,17:55:00,17:55:00,SAN,2,,1,0,1
PUN_1815R,18:15:00,18:15:00,PUN,1,,0,1,1
PUN_1815R,18:25:00,18:25:00,SAN,2,,1,0,1
PUN_1845R,18:45:00,18:45:00,PUN,1,,0,1,1
PUN_1845R,18:55:00,18:55:00,SAN,2,,1,0,1
PUN_1915R,19:15:00,19:15:00,PUN,1,,0,1,1
PUN_1915R,19:25:00,19:25:00,SAN,2,,1,0,1
PS_C_0935O,09:35:00,09:35:00,SAN,1,,0,1,1
PS_C_0935O,09:50:00,09:55:00,PED,2,,0,0,1
PS_C_0935O,10:00:00,10:00:00,SOM,3,,1,0,1
PS_C_1030O,10:30:00,10:30:00,SAN,1,,0,1,1
PS_C_1030O,10:45:00,10:50:00,PED,2,,0,0,1
PS_C_1030O,10:55:00,10:55:00,SOM,3,,1,0,1
PS_C_1140O,11:40:00,11:40:00,SAN,1,,0,1,1
PS_C_1140O,11:55:00,12:00:00,PED,2,,0,0,1
PS_C_1140O,12:05:00,12:05:00,SOM,3,,1,0,1
PS_C_1210O,12:10:00,12:10:00,SAN,1,,0,1,1
PS_C_1210O,12:25:00,12:30:00,PED,2,,0,0,1
PS_C_1210O,12:35:00,12:35:00,SOM,3,,1,0,1
PS_C_1250O,12:50:00,12:50:00,SAN,1,,0,1,1
PS_C_1250O,13:05:00,13:10:00,PED,2,,0,0,1
PS_C_1250O,13:15:00,13:15:00,SOM,3,,1,0,1
PS_C_1320O,13:20:00,13:20:00,SAN,1,,0,1,1
PS_C_1320O,13:35:00,13:40:00,PED,2,,0,0,1
PS_C_1320O,13:45:00,13:45:00,SOM,3,,1,0,1
PS_C_1400O,14:00:00,14:00:00,SAN,1,,0,1,1
PS_C_1400O,14:15:00,14:20:00,PED,2,,0,0,1
PS_C_1400O,14:25:00,14:25:00,SOM,3,,1,0,1
PS_C_1430O,14:30:00,14:30:00,SAN,1,,0,1,1
PS_C_1430O,14:45:00,14:50:00,PED,2,,0,0,1
PS_C_1430O,14:55:00,14:55:00,SOM,3,,1,0,1
PS_C_1510O,15:10:00,15:10:00,SAN,1,,0,1,1
PS_C_1510O,15:25:00,15:30:00,PED,2,,0,0,1
PS_C_1510O,15:35:00,15:35:00,SOM,3,,1,0,1
PS_C_1630O,16:30:00,16:30:00,SAN,1,,0,1,1
PS_C_1630O,16:45:00,16:50:00,PED,2,,0,0,1
PS_C_1630O,16:55:00,16:55:00,SOM,3,,1,0,1
PS_C_1700O,17:00:00,17:00:00,SAN,1,,0,1,1
PS_C_1700O,17:15:00,17:20:00,PED,2,,0,0,1
PS_C_1700O,17:25:00,17:25:00,SOM,3,,1,0,1
PS_C_1740O,17:40:00,17:40:00,SAN,1,,0,1,1
PS_C_1740O,17:55:00,18:00:00,PED,2,,0,0,1
PS_C_1740O,18:05:00,18:05:00,SOM,3,,1,0,1
PS_C_1810O,18:10:00,18:10:00,SAN,1,,0,1,1
PS_C_1810O,18:25:00,18:30:00,PED,2,,0,0,1
PS_C_1810O,18:35:00,18:35:00,SOM,3,,1,0,1
PS_C_1850O,18:50:00,18:50:00,SAN,1,,0,1,1
PS_C_1850O,19:05:00,19:10:00,PED,2,,0,0,1
PS_C_1850O,19:15:00,19:15:00,SOM,3,,1,0,1
PS_C_1920O,19:20:00,19:20:00,SAN,1,,0,1,1
PS_C_1920O,19:35:00,19:40:00,PED,2,,0,0,1
PS_C_1920O,19:45:00,19:45:00,SOM,3,,1,0,1
PS_C_2000O,20:00:00,20:00:00,SAN,1,,0,1,1
PS_C_2000O,20:15:00,20:20:00,PED,2,,0,0,1
PS_C_2000O,20:25:00,20:25:00,SOM,3,,1,0,1
PS_C_1000R,10:00:00,10:00:00,SOM,1,,0,1,1
PS_C_1000R,10:05:00,10:10:00,PED,2,,0,0,1
PS_C_1000R,10:25:00,10:25:00,SAN,3,,1,0,1
PS_C_1105R,11:05:00,11:05:00,SOM,1,,0,1,1
PS_C_1105R,11:10:00,11:15:00,PED,2,,0,0,1
PS_C_1105R,11:30:00,11:30:00,SAN,3,,1,0,1
PS_C_1135R,11:35:00,11:35:00,SOM,1,,0,1,1
PS_C_1135R,11:40:00,11:45:00,PED,2,,0,0,1
PS_C_1135R,12:00:00,12:00:00,SAN,3,,1,0,1
PS_C_1215R,12:15:00,12:15:00,SOM,1,,0,1,1
PS_C_1215R,12:20:00,12:25:00,PED,2,,0,0,1
PS_C_1215R,12:40:00,12:40:00,SAN,3,,1,0,1
PS_C_1245R,12:45:00,12:45:00,SOM,1,,0,1,1
PS_C_1245R,12:50:00,12:55:00,PED,2,,0,0,1
PS_C_1245R,13:10:00,13:10:00,SAN,3,,1,0,1
PS_C_1325R,13:25:00,13:25:00,SOM,1,,0,1,1
PS_C_1325R,13:30:00,13:35:00,PED,2,,0,0,1
PS_C_1325R,13:50:00,13:50:00,SAN,3,,1,0,1
PS_C_1355R,13:55:00,13:55:00,SOM,1,,0,1,1
PS_C_1355R,14:00:00,14:05:00,PED,2,,0,0,1
PS_C_1355R,14:20:00,14:20:00,SAN,3,,1,0,1
PS_C_1435R,14:35:00,14:35:00,SOM,1,,0,1,1
PS_C_1435R,14:40:00,14:45:00,PED,2,,0,0,1
PS_C_1435R,15:00:00,15:00:00,SAN,3,,1,0,1
PS_C_1505R,15:05:00,15:05:00,SOM,1,,0,1,1
PS_C_1505R,15:10:00,15:15:00,PED,2,,0,0,1
PS_C_1505R,15:30:00,15:30:00,SAN,3,,1,0,1
