shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
SAN_PUN,0,43.4615114,-3.8016377
SAN_PUN,1,43.4615032,-3.8014477
SAN_PUN,2,43.4615007,-3.8011952
SAN_PUN,3,43.4614460,-3.8007383
SAN_PUN,4,43.4611839,-3.7998247
SAN_PUN,5,43.4603695,-3.7975501
SAN_PUN,6,43.4575979,-3.7861314
SAN_PUN,7,43.4570336,-3.7830097
SAN_PUN,8,43.4561850,-3.7776626
SAN_PUN,9,43.4561785,-3.7765966
SAN_PUN,10,43.4562827,-3.7754639
SAN_PUN,11,43.4564054,-3.7743400
SAN_PUN,12,43.4565557,-3.7732827
SAN_PUN,13,43.4566287,-3.7730813
SAN_PUN,14,43.4567286,-3.7729939
SAN_PUN,15,43.4571062,-3.7727482
PUN_SAN,0,43.4571062,-3.7727482
PUN_SAN,1,43.4567286,-3.7729939
PUN_SAN,2,43.4566287,-3.7730813
PUN_SAN,3,43.4565557,-3.7732827
PUN_SAN,4,43.4564054,-3.7743400
PUN_SAN,5,43.4562827,-3.7754639
PUN_SAN,6,43.4561785,-3.7765966
PUN_SAN,7,43.4561850,-3.7776626
PUN_SAN,8,43.4570336,-3.7830097
PUN_SAN,9,43.4575979,-3.7861314
PUN_SAN,10,43.4603695,-3.7975501
PUN_SAN,11,43.4611839,-3.7998247
PUN_SAN,12,43.4614460,-3.8007383
PUN_SAN,13,43.4615007,-3.8011952
PUN_SAN,14,43.4615032,-3.8014477
PUN_SAN,15,43.4615114,-3.8016377
SAN_PED,0,43.4615114,-3.8016377
SAN_PED,1,43.4614666,-3.8014763
SAN_PED,2,43.4614105,-3.8013091
SAN_PED,3,43.4613059,-3.8010707
SAN_PED,4,43.4611676,-3.8008691
SAN_PED,5,43.4609129,-3.8005056
SAN_PED,6,43.4605033,-3.7997897
SAN_PED,7,43.4595118,-3.7981204
SAN_PED,8,43.4588225,-3.7963850
SAN_PED,9,43.4567548,-3.7900406
SAN_PED,10,43.4560086,-3.7868689
SAN_PED,11,43.4553778,-3.7834057
SAN_PED,12,43.4549205,-3.7815315
SAN_PED,13,43.4543991,-3.7797369
SAN_PED,14,43.4542067,-3.7792706
SAN_PED,15,43.4539790,-3.7788397
SAN_PED,16,43.4537615,-3.7784779
SAN_PED,17,43.4534702,-3.7781692
SAN_PED,18,43.4530739,-3.7779669
SAN_PED,19,43.4523419,-3.7776414
SAN_PED,20,43.4513278,-3.7771127
SAN_PED,21,43.4501351,-3.7764001
SAN_PED,22,43.4492854,-3.7755457
SAN_PED,23,43.4491266,-3.7752776
SAN_PED,24,43.4489922,-3.7749684
SAN_PED,25,43.4489372,-3.7746436
SAN_PED,26,43.4489389,-3.7742911
SAN_PED,27,43.4491426,-3.7727704
SAN_PED,28,43.4494065,-3.7709393
SAN_PED,29,43.4494593,-3.7702520
SAN_PED,30,43.4494585,-3.7696871
SAN_PED,31,43.4494029,-3.7693507
SAN_PED,32,43.4493383,-3.7691477
SAN_PED,33,43.4492183,-3.7689962
SAN_PED,34,43.4490649,-3.7688934
SAN_PED,35,43.4489115,-3.7688343
PED_SAN,0,43.4489115,-3.7688343
PED_SAN,1,43.4490649,-3.7688934
PED_SAN,2,43.4492183,-3.7689962
PED_SAN,3,43.4493383,-3.7691477
PED_SAN,4,43.4494029,-3.7693507
PED_SAN,5,43.4494585,-3.7696871
PED_SAN,6,43.4494593,-3.7702520
PED_SAN,7,43.4494065,-3.7709393
PED_SAN,8,43.4491426,-3.7727704
PED_SAN,9,43.4489389,-3.7742911
PED_SAN,10,43.4489372,-3.7746436
PED_SAN,11,43.4489922,-3.7749684
PED_SAN,12,43.4491266,-3.7752776
PED_SAN,13,43.4492854,-3.7755457
PED_SAN,14,43.4501351,-3.7764001
PED_SAN,15,43.4513278,-3.7771127
PED_SAN,16,43.4523419,-3.7776414
PED_SAN,17,43.4530739,-3.7779669
PED_SAN,18,43.4534702,-3.7781692
PED_SAN,19,43.4537615,-3.7784779
PED_SAN,20,43.4539790,-3.7788397
PED_SAN,21,43.4542067,-3.7792706
PED_SAN,22,43.4543991,-3.7797369
PED_SAN,23,43.4549205,-3.7815315
PED_SAN,24,43.4553778,-3.7834057
PED_SAN,25,43.4560086,-3.7868689
PED_SAN,26,43.4567548,-3.7900406
PED_SAN,27,43.4588225,-3.7963850
PED_SAN,28,43.4595118,-3.7981204
PED_SAN,29,43.4605033,-3.7997897
PED_SAN,30,43.4609129,-3.8005056
PED_SAN,31,43.4611676,-3.8008691
PED_SAN,32,43.4613059,-3.8010707
PED_SAN,33,43.4614105,-3.8013091
PED_SAN,34,43.4614666,-3.8014763
PED_SAN,35,43.4615114,-3.8016377
SAN_PED_SOM,0,43.4615114,-3.8016377
SAN_PED_SOM,1,43.4614666,-3.8014763
SAN_PED_SOM,2,43.4614105,-3.8013091
SAN_PED_SOM,3,43.4613059,-3.8010707
SAN_PED_SOM,4,43.4611676,-3.8008691
SAN_PED_SOM,5,43.4609129,-3.8005056
SAN_PED_SOM,6,43.4605033,-3.7997897
SAN_PED_SOM,7,43.4595118,-3.7981204
SAN_PED_SOM,8,43.4588225,-3.7963850
SAN_PED_SOM,9,43.4567548,-3.7900406
SAN_PED_SOM,10,43.4560086,-3.7868689
SAN_PED_SOM,11,43.4553778,-3.7834057
SAN_PED_SOM,12,43.4549205,-3.7815315
SAN_PED_SOM,13,43.4543991,-3.7797369
SAN_PED_SOM,14,43.4542067,-3.7792706
SAN_PED_SOM,15,43.4539790,-3.7788397
SAN_PED_SOM,16,43.4537615,-3.7784779
SAN_PED_SOM,17,43.4534702,-3.7781692
SAN_PED_SOM,18,43.4530739,-3.7779669
SAN_PED_SOM,19,43.4523419,-3.7776414
SAN_PED_SOM,20,43.4513278,-3.7771127
SAN_PED_SOM,21,43.4501351,-3.7764001
SAN_PED_SOM,22,43.4492854,-3.7755457
SAN_PED_SOM,23,43.4491266,-3.7752776
SAN_PED_SOM,24,43.4489922,-3.7749684
SAN_PED_SOM,25,43.4489372,-3.7746436
SAN_PED_SOM,26,43.4489389,-3.7742911
SAN_PED_SOM,27,43.4491426,-3.7727704
SAN_PED_SOM,28,43.4494065,-3.7709393
SAN_PED_SOM,29,43.4494593,-3.7702520
SAN_PED_SOM,30,43.4494585,-3.7696871
SAN_PED_SOM,31,43.4494029,-3.7693507
SAN_PED_SOM,32,43.4493383,-3.7691477
SAN_PED_SOM,33,43.4492183,-3.7689962
SAN_PED_SOM,34,43.4490649,-3.7688934
SAN_PED_SOM,35,43.4489115,-3.7688343
SAN_PED_SOM,36,43.4489115,-3.7688343
SAN_PED_SOM,37,43.4489721,-3.7685851
SAN_PED_SOM,38,43.4489957,-3.7683067
SAN_PED_SOM,39,43.4489148,-3.7679935
SAN_PED_SOM,40,43.4484012,-3.7669634
SAN_PED_SOM,41,43.4480001,-3.7663560
SAN_PED_SOM,42,43.4478490,-3.7660570
SAN_PED_SOM,43,43.4477189,-3.7656853
SAN_PED_SOM,44,43.4476584,-3.7651694
SAN_PED_SOM,45,43.4476931,-3.7644933
SAN_PED_SOM,46,43.4478789,-3.7637110
SAN_PED_SOM,47,43.4482622,-3.7623737
SAN_PED_SOM,48,43.4488510,-3.7609475
SAN_PED_SOM,49,43.4491737,-3.7601203
SAN_PED_SOM,50,43.4493295,-3.7592036
SAN_PED_SOM,51,43.4493340,-3.7586598
SAN_PED_SOM,52,43.4492876,-3.7581835
SAN_PED_SOM,53,43.4492534,-3.7577363
SAN_PED_SOM,54,43.4492152,-3.7568783
SAN_PED_SOM,55,43.4491703,-3.7561736
SAN_PED_SOM,56,43.4491434,-3.7556216
SAN_PED_SOM,57,43.4490962,-3.7549676
SAN_PED_SOM,58,43.4491433,-3.7543329
SAN_PED_SOM,59,43.4492309,-3.7537032
SAN_PED_SOM,60,43.4493916,-3.7530070
SAN_PED_SOM,61,43.4499233,-3.7512354
SAN_PED_SOM,62,43.4501636,-3.7504998
SAN_PED_SOM,63,43.4504187,-3.7497370
SAN_PED_SOM,64,43.4506970,-3.7488714
SAN_PED_SOM,65,43.4510868,-3.7475920
SAN_PED_SOM,66,43.4513512,-3.7468160
SAN_PED_SOM,67,43.4515352,-3.7465468
SAN_PED_SOM,68,43.4516731,-3.7464597
SAN_PED_SOM,69,43.4518419,-3.7464275
SOM_PED_SAN,0,43.4518419,-3.7464275
SOM_PED_SAN,1,43.4516731,-3.7464597
SOM_PED_SAN,2,43.4515352,-3.7465468
SOM_PED_SAN,3,43.4513512,-3.7468160
SOM_PED_SAN,4,43.4510868,-3.7475920
SOM_PED_SAN,5,43.4506970,-3.7488714
SOM_PED_SAN,6,43.4504187,-3.7497370
SOM_PED_SAN,7,43.4501636,-3.7504998
SOM_PED_SAN,8,43.4499233,-3.7512354
SOM_PED_SAN,9,43.4493916,-3.7530070
SOM_PED_SAN,10,43.4492309,-3.7537032
SOM_PED_SAN,11,43.4491433,-3.7543329
SOM_PED_SAN,12,43.4490962,-3.7549676
SOM_PED_SAN,13,43.4491434,-3.7556216
SOM_PED_SAN,14,43.4491703,-3.7561736
SOM_PED_SAN,15,43.4492152,-3.7568783
SOM_PED_SAN,16,43.4492534,-3.7577363
SOM_PED_SAN,17,43.4492876,-3.7581835
SOM_PED_SAN,18,43.4493340,-3.7586598
SOM_PED_SAN,19,43.4493295,-3.7592036
SOM_PED_SAN,20,43.4491737,-3.7601203
SOM_PED_SAN,21,43.4488510,-3.7609475
SOM_PED_SAN,22,43.4482622,-3.7623737
SOM_PED_SAN,23,43.4478789,-3.7637110
SOM_PED_SAN,24,43.4476931,-3.7644933
SOM_PED_SAN,25,43.4476584,-3.7651694
SOM_PED_SAN,26,43.4477189,-3.7656853
SOM_PED_SAN,27,43.4478490,-3.7660570
SOM_PED_SAN,28,43.4480001,-3.7663560
SOM_PED_SAN,29,43.4484012,-3.7669634
SOM_PED_SAN,30,43.4489148,-3.7679935
SOM_PED_SAN,31,43.4489957,-3.7683067
SOM_PED_SAN,32,43.4489721,-3.7685851
SOM_PED_SAN,33,43.4489115,-3.7688343
SOM_PED_SAN,34,43.4489115,-3.7688343
SOM_PED_SAN,35,43.4490649,-3.7688934
SOM_PED_SAN,36,43.4492183,-3.7689962
SOM_PED_SAN,37,43.4493383,-3.7691477
SOM_PED_SAN,38,43.4494029,-3.7693507
SOM_PED_SAN,39,43.4494585,-3.7696871
SOM_PED_SAN,40,43.4494593,-3.7702520
SOM_PED_SAN,41,43.4494065,-3.7709393
SOM_PED_SAN,42,43.4491426,-3.7727704
SOM_PED_SAN,43,43.4489389,-3.7742911
SOM_PED_SAN,44,43.4489372,-3.7746436
SOM_PED_SAN,45,43.4489922,-3.7749684
SOM_PED_SAN,46,43.4491266,-3.7752776
SOM_PED_SAN,47,43.4492854,-3.7755457
SOM_PED_SAN,48,43.4501351,-3.7764001
SOM_PED_SAN,49,43.4513278,-3.7771127
SOM_PED_SAN,50,43.4523419,-3.7776414
SOM_PED_SAN,51,43.4530739,-3.7779669
SOM_PED_SAN,52,43.4534702,-3.7781692
SOM_PED_SAN,53,43.4537615,-3.7784779
SOM_PED_SAN,54,43.4539790,-3.7788397
SOM_PED_SAN,55,43.4542067,-3.7792706
SOM_PED_SAN,56,43.4543991,-3.7797369
SOM_PED_SAN,57,43.4549205,-3.7815315
SOM_PED_SAN,58,43.4553778,-3.7834057
